INDEX,RCR,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,VALID,LATITUDE,N S,LONGITUDE,E W,HEIGHT,SPEED,HEADING,DSTA,DAGE,PDOP,HDOP,VDOP,NSAT USED VIEW ,SAT INFO  SID ELE AZI SNR ,time1,time2,time3,time4,time5,CORRECTED TIME
86, T, 2017/06/11, 16:34:00, 2017/06/11,12:34:00,0, SPS,52.3508, N,5.2647,E, 14.142 M, 0.678 km/h,0,0,0,2.02,1.77,0.98,  5/10, 09-25-223-33;28-00-00-38;30-00-00-25;16-00-00-44;08-76-52-37;11-42-170-32;01-17-165-25;23-00-00-36;27-00-00-36;07-73-294-32, 11:34:00,11:34:00,02-02-18 11:34,02-02-18 12:34,02-02-18 12:34,12:34:00
87, T, 2017/06/11, 16:34:01, 2017/06/11,12:34:01,0, SPS,52.3508, N,5.2647, W, 14.153 M, 0.782 km/h,0,0,0,2.02,1.77,0.98,  5/10, 09-25-223-33;28-00-00-39;30-00-00-26;16-00-00-44;08-76-52-44;11-42-170-43;01-17-165-27;23-00-00-35;27-00-00-38;07-73-294-34, 11:34:01,11:34:01,02-02-18 11:34,02-02-18 12:34,02-02-18 12:34,12:34:01
88, T, 2017/06/11, 16:34:02, 2017/06/11,12:34:02,0, SPS,52.3508, N,5.2647, W, 14.159 M, 0.767 km/h,0,0,0,2.02,1.77,0.98,  5/10, 09-25-223-32;28-00-00-38;30-00-00-25;16-00-00-43;08-76-52-45;11-42-170-42;01-17-165-27;23-00-00-36;27-00-00-38;07-73-294-33, 11:34:02,11:34:02,02-02-18 11:34,02-02-18 12:34,02-02-18 12:34,12:34:02
